"id","name","current_sku","next_sku","current_category_id","current_category","target_category_id","target_category","sku_change","category_change"
"46679","Total Brushless Cordless Impact Drill 96Nm 20V","VOH-005","HSP-005","1710","Cordless Drills","1657","Power Tools","yes","yes"
"46680","168pcs Mechanic Socket Hand Tool Kits","VOH-023","HSP-023","1661","Socket Sets","1655","Hand Tools","yes","yes"
"46681","Total Cordless Screwdriver 4V USB-C Charging Integrated LED","VOH-008","HSP-008","1662","Cordless Screwdrivers","1657","Power Tools","yes","yes"
"46682","USK Submersible Water Pump 0.5HP 50m","VOH-035","HSP-035","1604","Submersible Pumps","1588","Water Pumps","yes","yes"
"46683","Total TCT Saw Blade 235mm 60 Teeth","VOH-003","HSP-003","1664","Circular Saw Blades","1657","Power Tools","yes","yes"
"46684","Total Cordless 2 Piece Combo Kit 20V","VOH-004","HSP-004","1665","Combo Kits","1657","Power Tools","yes","yes"
"46685","Total Claw Hammer 16oz Fibreglass Handle","VOH-011","HSP-011","1666","Hammers","1655","Hand Tools","yes","yes"
"46686","Total Measuring Tape 5m Metric and Imperial","VOH-025","HSP-025","1668","Tape Measures","1655","Hand Tools","yes","yes"
"46687","Inverter Welding Machine 200A IGBT MMA ARC Welder","VOH-016","HSP-016","1670","MMA Welders","1669","Welding","yes","yes"
"46688","Total Safety Goggles Chemical Splash and Impact Protection","VOH-009","HSP-009","1672","Eye Protection","1671","Safety Tools","yes","yes"
"46689","Alltop 300W Solar Flood Light Outdoor High Power","VOH-036","HSP-036","1675","Solar Flood Lights","1673","Lighting","yes","yes"
"46690","Total Cordless Angle Grinder 20V 115mm with Battery","VOH-007","HSP-007","1676","Cordless Grinders","1657","Power Tools","yes","yes"
"46691","Heavy Duty Mountain Bike 26 Inch 21 Speed Shimano Gears","VOH-038","HSP-038","1679","Mountain Bikes","1677","Sports & Outdoors","yes","yes"
"46692","PPR Pipe 20mm x 4 Metres PN20 Hot and Cold Water","VOH-033","HSP-033","1680","PPR Pipes","1585","Parts","yes","yes"
