"sku","title","product_id","status","media_id","source_url","message"
"HSP-052","GoldenTech Rich Tower Fan with Remote GT-TF36R","47047","image_failed","","https://images.jumia.co.ke/unsafe/fit-in/500x500/filters:fill(white)/product/goldentech-tower-fan-remote.jpg | https://overtech.co.ke/wp-content/uploads/goldentech-tower-fan.jpg","Command failed: curl.exe -k -L -s -S --fail --connect-timeout 20 --max-time 60 -A Mozilla/5.0 -o C:\Users\Eric\Documents\New project\repo-teacher-mwangi\outputs\hsp-new-product-images-20260416-hsp-new-images\hsp-052-2-goldentech-rich-tower-fan-with-remote-gt-tf36r.jpg https://overtech.co.ke/wp-content/uploads/goldentech-tower-fan.jpg curl: (22) The requested URL returned error: 404"
"HSP-053","Electromate Air Cooler 20L EM-AC20","47048","image_failed","","https://images.jumia.co.ke/unsafe/fit-in/500x500/filters:fill(white)/product/electromate-air-cooler-20l.jpg | https://rickelectronics.co.ke/wp-content/uploads/electromate-20l-air-cooler.jpg","Command failed: curl.exe -k -L -s -S --fail --connect-timeout 20 --max-time 60 -A Mozilla/5.0 -o C:\Users\Eric\Documents\New project\repo-teacher-mwangi\outputs\hsp-new-product-images-20260416-hsp-new-images\hsp-053-2-electromate-air-cooler-20l-em-ac20.jpg https://rickelectronics.co.ke/wp-content/uploads/electromate-20l-air-cooler.jpg curl: (6) Could not resolve host: rickelectronics.co.ke"
"HSP-054","Sonar 3kVA Petrol Generator SN-G3000","47064","image_failed","","https://images.jumia.co.ke/unsafe/fit-in/500x500/filters:fill(white)/product/sonar-3kva-generator.jpg | https://overtech.co.ke/wp-content/uploads/sonar-3kva-petrol-generator.jpg","Command failed: curl.exe -k -L -s -S --fail --connect-timeout 20 --max-time 60 -A Mozilla/5.0 -o C:\Users\Eric\Documents\New project\repo-teacher-mwangi\outputs\hsp-new-product-images-20260416-hsp-new-images\hsp-054-2-sonar-3kva-petrol-generator-sn-g3000.jpg https://overtech.co.ke/wp-content/uploads/sonar-3kva-petrol-generator.jpg curl: (22) The requested URL returned error: 404"
"HSP-055","GoldenTech Rich 2.5kVA Inverter Generator GT-IG2500","47065","image_failed","","https://images.jumia.co.ke/unsafe/fit-in/500x500/filters:fill(white)/product/goldentech-inverter-generator-2500.jpg | https://overtech.co.ke/wp-content/uploads/goldentech-rich-inverter-generator.jpg","Command failed: curl.exe -k -L -s -S --fail --connect-timeout 20 --max-time 60 -A Mozilla/5.0 -o C:\Users\Eric\Documents\New project\repo-teacher-mwangi\outputs\hsp-new-product-images-20260416-hsp-new-images\hsp-055-2-goldentech-rich-2-5kva-inverter-generator-gt-ig2500.jpg https://overtech.co.ke/wp-content/uploads/goldentech-rich-inverter-generator.jpg curl: (22) The requested URL returned error: 404"
"HSP-056","Electromate 1kVA Silent Generator EM-G1000S","47066","image_failed","","https://images.jumia.co.ke/unsafe/fit-in/500x500/filters:fill(white)/product/electromate-1kva-silent-generator.jpg | https://rickelectronics.co.ke/wp-content/uploads/electromate-1kva-generator.jpg","Command failed: curl.exe -k -L -s -S --fail --connect-timeout 20 --max-time 60 -A Mozilla/5.0 -o C:\Users\Eric\Documents\New project\repo-teacher-mwangi\outputs\hsp-new-product-images-20260416-hsp-new-images\hsp-056-2-electromate-1kva-silent-generator-em-g1000s.jpg https://rickelectronics.co.ke/wp-content/uploads/electromate-1kva-generator.jpg curl: (6) Could not resolve host: rickelectronics.co.ke"
"HSP-057","Solarmax 200W Monocrystalline Solar Panel SMX-200M","47049","image_failed","","https://solarshop.co.ke/wp-content/uploads/solarmax-200w-monocrystalline-solar-panel.jpg | https://images.jumia.co.ke/unsafe/fit-in/500x500/filters:fill(white)/product/solarmax-200w-solar-panel.jpg","Command failed: curl.exe -k -L -s -S --fail --connect-timeout 20 --max-time 60 -A Mozilla/5.0 -o C:\Users\Eric\Documents\New project\repo-teacher-mwangi\outputs\hsp-new-product-images-20260416-hsp-new-images\hsp-057-2-solarmax-200w-monocrystalline-solar-panel-smx-200m.jpg https://images.jumia.co.ke/unsafe/fit-in/500x500/filters:fill(white)/product/solarmax-200w-solar-panel.jpg curl: (6) Could not resolve host: images.jumia.co.ke"
"HSP-058","Solarmax 1000W Pure Sine Wave Inverter SMX-1000PS","47068","image_failed","","https://kenyaelectricalshop.co.ke/wp-content/uploads/solarmax-1000w-pure-sine-inverter.jpg | https://patabay.co.ke/wp-content/uploads/solarmax-1000w-inverter.jpg","Command failed: curl.exe -k -L -s -S --fail --connect-timeout 20 --max-time 60 -A Mozilla/5.0 -o C:\Users\Eric\Documents\New project\repo-teacher-mwangi\outputs\hsp-new-product-images-20260416-hsp-new-images\hsp-058-2-solarmax-1000w-pure-sine-wave-inverter-smx-1000ps.jpg https://patabay.co.ke/wp-content/uploads/solarmax-1000w-inverter.jpg curl: (22) The requested URL returned error: 404"
"HSP-059","Solarmax Solar Water Pump Kit 0.5HP SMX-SP05","47069","image_failed","","https://solarshop.co.ke/wp-content/uploads/solarmax-solar-pump-0-5hp.jpg | https://images.jumia.co.ke/unsafe/fit-in/500x500/filters:fill(white)/product/solarmax-solar-pump-kit.jpg","Command failed: curl.exe -k -L -s -S --fail --connect-timeout 20 --max-time 60 -A Mozilla/5.0 -o C:\Users\Eric\Documents\New project\repo-teacher-mwangi\outputs\hsp-new-product-images-20260416-hsp-new-images\hsp-059-2-solarmax-solar-water-pump-kit-0-5hp-smx-sp05.jpg https://images.jumia.co.ke/unsafe/fit-in/500x500/filters:fill(white)/product/solarmax-solar-pump-kit.jpg curl: (6) Could not resolve host: images.jumia.co.ke"
"HSP-060","Von 2-Plate Electric Coil Cooker VCST-200FE","47070","image_failed","","https://hotpoint.co.ke/media/catalog/product/v/c/vcst-200fe_1.jpg | https://images.jumia.co.ke/unsafe/fit-in/500x500/filters:fill(white)/product/von-2-plate-cooker.jpg","Command failed: curl.exe -k -L -s -S --fail --connect-timeout 20 --max-time 60 -A Mozilla/5.0 -o C:\Users\Eric\Documents\New project\repo-teacher-mwangi\outputs\hsp-new-product-images-20260416-hsp-new-images\hsp-060-2-von-2-plate-electric-coil-cooker-vcst-200fe.jpg https://images.jumia.co.ke/unsafe/fit-in/500x500/filters:fill(white)/product/von-2-plate-cooker.jpg curl: (6) Could not resolve host: images.jumia.co.ke"
"HSP-061","Vitro 3-Burner Gas Cooker VT-GB3","47071","image_failed","","https://overtech.co.ke/wp-content/uploads/vitro-3-burner-gas-cooker.jpg | https://images.jumia.co.ke/unsafe/fit-in/500x500/filters:fill(white)/product/vitro-3-burner-gas-cooker.jpg","Command failed: curl.exe -k -L -s -S --fail --connect-timeout 20 --max-time 60 -A Mozilla/5.0 -o C:\Users\Eric\Documents\New project\repo-teacher-mwangi\outputs\hsp-new-product-images-20260416-hsp-new-images\hsp-061-2-vitro-3-burner-gas-cooker-vt-gb3.jpg https://images.jumia.co.ke/unsafe/fit-in/500x500/filters:fill(white)/product/vitro-3-burner-gas-cooker.jpg curl: (6) Could not resolve host: images.jumia.co.ke"
